Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Rótulo;Tipo venta;Horario;
BALEARS (ILLES);EIVISSA;EIVISSA;07800;PASSEIG JOAN CARLES I, 20;N;1,443722;38,913806;1,866;;1,866;;;REPSOL;Suministro a barcos deportivos o de recreo;L-D: 09:00-14:00 y 16:00-20:00;
BALEARS (ILLES);EIVISSA;EIVISSA;07800;MUELLE COMERCIAL, S/Nº;N;1,439183;38,913817;;;;837,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
BALEARS (ILLES);MERCADAL (ES);FORNELLS;07748;PASSATGE ES PLA S/N;N;4,129750;40,056806;1,779;;1,809;;;U.S.PUERTO FORNELLS;Suministro a barcos deportivos o de recreo;X: 09:00-13:00;
BALEARS (ILLES);PALMA DE MALLORCA;PALMA;07001;MUELLE VIEJO, S/N ESPIGÓN EXTERIOR;N;2,638278;39,564667;;;1,750;;;STP;Suministro a barcos deportivos o de recreo;L-D: 08:00-20:00;
BALEARS (ILLES);PALMA DE MALLORCA;PALMA;07012;MUELLE VIEJO, S/Nº (EL MOLLET);N;2,640572;39,566595;;;1,787;837,000;;REPSOL;Mixto;L-D: 24H;
BALEARS (ILLES);SANTANYÍ;CALA FIGUERA;07659;MUELLE, S/Nº SANTANY;N;3,170294;39,331317;;;;837,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
BALEARS (ILLES);SÓLLER;SOLLER;07100;MUELLE COMERCIAL, S/Nº;N;2,694461;39,797150;1,767;;1,787;837,000;;REPSOL;Mixto;L-D: 24H;
BALEARS (ILLES);SON SERVERA;CALA BONA;07559;NUEVO PUERTO DE LAREDO, S/Nº;N;3,392472;39,613917;;;1,787;837,000;;REPSOL;Mixto;L-D: 09:00-13:00 y 15:00-20:00;
BARCELONA;BARCELONA;BARCELONA;08003;MUELLE DE BALEARES, S/Nº;N;2,185510;41,372778;;;;842,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
BARCELONA;SITGES;SITGES;08870;TORRE CAPITANIA  S N    PUERTO DEPORTIVO AIGUADOLC;N;;;1,753;;1,725;;;REPSOL;Suministro a barcos deportivos o de recreo;L-D: 09:30-18:30;
BARCELONA;SITGES;GARRAF;08870;PORT DEL GARRAF;N;1,900056;41,249306;1,704;;1,678;;;PETROPRIX;Suministro a barcos deportivos o de recreo;L-D: 08:00-18:00;
BARCELONA;VILANOVA I LA GELTRÚ;VILANOVA I LA GELTRU;08800;LG ENTRE MUELLE DE LA LLOTJA Y PESCADO;N;1,735861;41,215917;;;;846,000;;COFRADIA DE PESCADORS DE VILANOVA I LA GELTRU;Suministro a pesqueros;L-D: 24H;
BIZKAIA;BERMEO;BERMEO;48370;MUELLE NUEVO S/Nº;N;-2,718222;43,417250;;;;820,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
BIZKAIA;ONDARROA;ONDARROA;48700;EGUIDAZU KAIA, S/N;N;-2,419056;43,326417;;;;817,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
CÁDIZ;CHIPIONA;CHIPIONA;11550;PUERTO PESQUERO DEPORTIVO, S/Nº;N;-6,429944;36,746500;1,681;;1,721;872,000;;REPSOL;Mixto;L-D: 24H;
CÁDIZ;CONIL DE LA FRONTERA;CONIL DE LA FRONTERA;11140;LONJA DE PESCADO DE CONIL DE LA FRONTERA;N;-6,136889;36,294389;1,560;;1,620;1060,000;;TRAFALGAR OILS;Mixto;L: 10:00-14:00 y 16:00-19:00;
CANTABRIA;CASTRO-URDIALES;CASTRO URDIALES;39700;MUELLE EQUILIÓN S/N;N;-3,221000;43,382444;1,749;;1,756;822,000;;REPSOL;Mixto;L-V: 09:00-13:00;
CANTABRIA;COLINDRES;COLINDRES;39750;MUELLE PESQUERO, S/Nº;N;-3,463033;43,393903;1,749;;1,756;822,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
CANTABRIA;LAREDO;LAREDO;39770;NUEVO PUERTO DE LAREDO, S/Nº;N;-3,415444;43,418778;1,749;;1,756;822,000;;REPSOL;Mixto;L-S: 09:00-13:00 y 14:00-18:00;
CANTABRIA;MARINA DE CUDEYO;PEDREÑA;39130;BARRIO LA BARQUERIA 151-ES;N;-3,766472;43,447167;1,845;;1,849;;;REPSOL;Suministro a barcos deportivos o de recreo;L-D: 06:00-21:30;
CANTABRIA;SAN VICENTE DE LA BARQUERA;SAN VICENTE DE LA BARQUERA;39540;AVDA. ANTONIO GARELY, S/Nº;N;-4,397755;43,385014;;;1,756;822,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
CANTABRIA;SANTANDER;SANTANDER;39009;PUERTO PSQUERO;N;-3,821333;43,449222;;;;822,000;;REPSOL;Suministro a pesqueros;L-J: 09:00-13:00 y 14:00-18:00;
CANTABRIA;SANTOÑA;SANTOÑA;39740;MUELLE PESQUERO, S/Nº;N;-3,463310;43,441959;1,749;;1,756;822,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
CANTABRIA;SUANCES;SUANCES;39340;MUELLE PESQUERO, S/Nº;N;-4,035255;43,425292;1,749;;1,756;822,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
CASTELLÓN / CASTELLÓ;ALCALÀ DE XIVERT;ALCOSSEBRE;12579;PM PUERTO DEPORTIVO LAS FUENTES DE ALCOCEBRE;N;0,280667;40,247972;1,795;;1,715;;;;Suministro a barcos deportivos o de recreo;L-D: 09:00-13:00 y 16:00-19:00;
CASTELLÓN / CASTELLÓ;BURRIANA;BURRIANA;12530;MUELLE DE PONIENTE;N;-0,069139;39,859056;1,780;;1,810;;;MARINA BURRIANANOVA, S.A.;Suministro a barcos deportivos o de recreo;L-D: 24H;
CASTELLÓN / CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;CASTELLON DE LA PLANA;12100;ESCOLLERA DE PONIENTE, S/N;N;0,020639;39,968583;1,897;;1,773;;;REAL CLUB NAUTICO DE CASTELLON;Suministro a barcos deportivos o de recreo;L-D: 24H;
CASTELLÓN / CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;CASTELLON DE LA PLANA;12100;MUELLE PESQUERO, S/Nº;N;-0,019836;39,966340;;;;807,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
CASTELLÓN / CASTELLÓ;OROPESA DEL MAR/ORPESA;OROPESA;12594;PARTIDA DENOMINADA PUERTO DEPORTIVO;N;0,146806;40,081306;1,876;;1,807;;;CLUB NAUTICO DE OROPESA;Suministro a barcos deportivos o de recreo;L-D: 24H;
CASTELLÓN / CASTELLÓ;PEÑÍSCOLA;PEÑISCOLA;12598;EXPLANADA  DEL PUERTO S/N;N;0,406167;40,356417;;;;809,000;;NINGUNO;Suministro a pesqueros;L-V: 09:00-13:00 y 15:00-19:00;
CORUÑA (A);CAMARIÑAS;CAMARIÑAS;15123;MUELLE PESQUERO, S/Nº;N;-9,182914;43,128027;;;;885,000;841,000;REPSOL;Suministro a pesqueros;L-D: 24H;
CORUÑA (A);CARIÑO;CARIÑO;15593;MUELLE PESQUERO, S/Nº;N;-7,866525;43,737749;;;;870,000;839,000;REPSOL;Suministro a pesqueros;L-D: 24H;
CORUÑA (A);CORUÑA (A);CORUÑA (A);15001;PASEO MARITIMO ALCALDE FCO VAZQUEZ S/N ;N;-8,383556;43,366889;1,760;;1,718;;;MARINA CORUÑA;Suministro a barcos deportivos o de recreo;L-D: 24H;
CORUÑA (A);CORUÑA (A);CORUÑA (A);15006;DÁRSENA DE OZA, S/Nº;N;-8,379303;43,348582;;;;810,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
CORUÑA (A);FERROL;FERROL;15401;MUELLE DE CRUXEIRAS, S/Nº;N;-8,244303;43,478304;1,699;;1,730;885,000;841,000;REPSOL;Mixto;L-D: 24H;
CORUÑA (A);FISTERRA;FISTERRA;15155;MUELLE PESQUERO, S/Nº;N;-9,001525;42,998860;;;;885,000;839,000;REPSOL;Suministro a pesqueros;L-D: 24H;
CORUÑA (A);LAXE;LAXE;15117;MUELLE PESQUERO, S/Nº;N;-9,001803;43,223304;;;;895,000;839,000;REPSOL;Suministro a pesqueros;L-D: 24H;
CORUÑA (A);MALPICA DE BERGANTIÑOS;MALPICA;15113;MUELLE PESQUERO, S/Nº;N;-8,808192;43,323304;;;;895,000;841,000;REPSOL;Suministro a pesqueros;L-D: 24H;
CORUÑA (A);MUROS;MUROS;15250;MUELLE PESQUERO S/N;N;-9,055969;42,776082;1,699;;1,706;895,000;841,000;REPSOL;Mixto;L-D: 24H;
CORUÑA (A);MUXÍA;MUXIA;15124;MUELLE PESQUERO, S/Nº;N;-9,214858;43,105804;;;;895,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
