Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Rótulo;Tipo venta;Horario;
SANTA CRUZ DE TENERIFE;TAZACORTE;TAZACORTE;38770;PUERTO DE TAZACORTE S/N;N;-17,933194;28,642722;1,560;;1,562;;;PUERTO TAZACORTE;Suministro a barcos deportivos o de recreo;L-D: 08:30-19:30;
TARRAGONA;AMETLLA DE MAR (L');AMETLLA DE MAR (L');43860;MOLL DE PONENT S/N APTDO CORREOS 104;N;0,802111;40,879389;;1,963;1,801;;;NO FIGURA;Suministro a barcos deportivos o de recreo;L-D: 09:00-13:00 y 15:00-19:00;
TARRAGONA;AMETLLA DE MAR (L');AMETLLA DE MAR (L');43860;PORT CALAFAT;N;0,850278;40,927333;1,669;;1,569;;;ALAS - PORT CALAFAT;Suministro a barcos deportivos o de recreo;L-D: 24H;
TARRAGONA;AMPOLLA (L');AMPOLLA (L');43895;PORT ESPORTIU;N;0,710667;40,809472;1,759;;1,730;;;PETROCAT;Suministro a barcos deportivos o de recreo;L-D: 08:00-13:00 y 15:00-18:00;
TARRAGONA;CALAFELL;SEGUR DE CALAFELL;43882;Pº MARITIMO S/N;N;1,607556;41,186083;1,907;;1,807;;;PORT SEGUR CALAFELL, S.A.;Suministro a barcos deportivos o de recreo;L-D: 08:00-20:00;
TARRAGONA;CAMBRILS;CAMBRILS;43850;PUERTO PESQUERO, S/Nº;N;1,061881;41,062750;;;;832,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
TARRAGONA;DELTEBRE;DELTEBRE;43580;ML PUERTO DELTEBRE;N;0,843167;40,717361;1,549;;1,507;;894,000;CARBURANTS DEL MONTSIÀ;Mixto;L-D: 24H;
TARRAGONA;RODA DE BARÀ;RODA DE BARA;43883;EDIFICIO CAPITANIA,S/N;N;1,485500;41,167556;1,759;;1,730;;;PETROCAT;Suministro a barcos deportivos o de recreo;L-D: 24H;
TARRAGONA;SANT CARLES DE LA RÀPITA;LA RÁPITA;43540;PUERTO, S/Nº;N;0,596881;40,613861;;;;832,000;;REPSOL;Suministro a pesqueros;L-D: 24H;
TARRAGONA;TARRAGONA;TARRAGONA;43005;MUELLE DE REUS S/N;N;1,242194;41,106917;;;;;869,000;VILALTA CORPORACION S.A.;Suministro a pesqueros;L-D: 24H;
TARRAGONA;VANDELLÒS I L'HOSPITALET DE L'INFANT;HOSPITALET DE L'INFANT;43890;MUELLE DR. CAPELLA S/N PUERTO DEPORTIVO;N;0,927694;40,988639;;1,746;1,696;;;REPSOL;Suministro a barcos deportivos o de recreo;L-D: 08:00-20:00;
TARRAGONA;VENDRELL (EL);MASOS DE COMA-RUGA (ELS);43880;PASSEIG MARÍTIM, S/N;N;1,525444;41,177333;1,759;;1,730;;;LIBRE;Suministro a barcos deportivos o de recreo;L-D: 07:00-20:30;
VALENCIA / VALÈNCIA;OLIVA;OLIVA;46780;ALFONSO EL MAGNANIMO, 41;N;-0,094694;38,931639;1,615;;1,615;;;BP OIL;Suministro a barcos deportivos o de recreo;L: 08:00-19:00;
VALENCIA / VALÈNCIA;POBLA DE FARNALS (LA);POBLA DE FARNALS (LA);46137;PLAZA CORTES VALENCIANAS S/N;N;-0,284167;39,560333;1,835;;1,810;;;POBLA MARINA;Suministro a barcos deportivos o de recreo;L-D: 07:00-21:00;
VALENCIA / VALÈNCIA;VALENCIA;VALENCIA;46024;CAMINO DE CANAL, 91 - CLUB NAUTICO DE VALENCIA;N;-0,330722;39,429917;1,809;;1,789;;1299,000;EXCLUSIVAS BAYMAR, S.A.;Suministro a barcos deportivos o de recreo;L-D: 24H;
VALENCIA / VALÈNCIA;VALENCIA;VALENCIA;46024;DIQUE NORTE, BOCANA DARSENA INTERIOR ;N;-0,312278;39,461306;1,789;;1,789;1269,000;;REPSOL ;Suministro a barcos deportivos o de recreo;L-D: 08:00-18:00;
